species,url,,,,,
African Elephant,https://www.iucnredlist.org/species/12392/3339343,,,,,
African Wild Dog,https://www.iucnredlist.org/species/12436/16711116,,,,,
Albacore Tuna,https://www.iucnredlist.org/species/21856/9325450,,,,,
Amazon River Dolphin,https://www.iucnredlist.org/species/10831/50358152,,,,,
Amur Leopard,,,,,,
Amur Tiger,,,,,,
Arctic Fox,https://www.iucnredlist.org/species/899/57549321,,,,,
Arctic Wolf,,,,,,
Asian Elephant,https://www.iucnredlist.org/species/7140/12828813,,,,,
Beluga,https://www.iucnredlist.org/species/6335/50352346,,,,,
Bengal Tiger,,,,,,
Bigeye Tuna,https://www.iucnredlist.org/species/21859/9329255,,,,,
Black Rhino,https://www.iucnredlist.org/species/6557/16980917,,,,,
Black Spider Monkey,https://www.iucnredlist.org/species/2283/9392691,,,,,
Black-footed Ferret,https://www.iucnredlist.org/species/14020/45200314,,,,,
Blue Whale,https://www.iucnredlist.org/species/2477/50226195,,,,,
Bluefin Tuna,https://www.iucnredlist.org/species/21860/9331546,,,,,
Bonobo,https://www.iucnredlist.org/species/15932/102331567,,,,,
Bornean Orangutan,https://www.iucnredlist.org/species/17975/123809220,,,,,
Borneo Pygmy Elephant,,,,,,
Bowhead Whale,https://www.iucnredlist.org/species/2467/50347659,,,,,
Brown Bear,https://www.iucnredlist.org/species/41688/121229971,,,,,
Chimpanzee,https://www.iucnredlist.org/species/15933/129038584,,,,,
Common Bottlenose Dolphin,https://www.iucnredlist.org/species/22563/50377908,,,,,
Cross River Gorilla,,,,,,
Dolphins and Porpoises,,,,,,
Dugong,https://www.iucnredlist.org/species/6909/43792211,,,,,
Eastern Lowland Gorilla,,,,,,
Elephant,,,,,,
Fin Whale,https://www.iucnredlist.org/species/2478/50349982,,,,,
Forest Elephant,,,,,,
Galápagos Penguin,https://www.iucnredlist.org/species/22697825/132606008,,,,,
Ganges River Dolphin,https://www.iucnredlist.org/species/41758/50383612,,,,,"the second ""gangetica"" should be deleted"
Giant Panda,https://www.iucnredlist.org/species/712/121745669,,,,,
Giant Tortoise,,,,,,
Gorilla,https://www.iucnredlist.org/species/9404/136250858,,,,,Gorilla gorilla
,https://www.iucnredlist.org/species/39994/115576640,,,,,Gorilla beringei
Gray Whale,https://www.iucnredlist.org/species/8097/50353881,,,,,
Great White Shark,https://www.iucnredlist.org/species/3855/10133872,,,,,
Greater One-Horned Rhino,https://www.iucnredlist.org/species/19496/8928657,,,,,
Greater Sage-Grouse,https://www.iucnredlist.org/species/22679503/92816586,,,,,
Green Turtle,https://www.iucnredlist.org/species/4615/11037468,,,,,
Hawksbill Turtle,https://www.iucnredlist.org/species/8005/12881238,,,,,
Hector's Dolphin,https://www.iucnredlist.org/species/4162/44199757,,,,,
Hippopotamus,https://www.iucnredlist.org/species/10103/18567364,,,,,
Humphead Wrasse,https://www.iucnredlist.org/species/4592/11023949,,,,,
Indian Elephant,,,,,,
Indochinese Tiger,,,,,,
Indus River Dolphin,,,,,,
Irrawaddy Dolphin,https://www.iucnredlist.org/species/15419/123790805,,,,,
Jaguar,https://www.iucnredlist.org/species/15953/123791436,,,,,
Javan Rhino,https://www.iucnredlist.org/species/19495/8925965,,,,,
Leatherback Turtle,https://www.iucnredlist.org/species/6494/43526147,,,,,
Loggerhead Turtle,https://www.iucnredlist.org/species/3897/119333622,,,,,
Macaw,https://www.iucnredlist.org/species/22685539/131917270,,,,,
Malayan Tiger,,,,,,
Marine Iguana,https://www.iucnredlist.org/species/1086/3222951,,,,,
Monarch Butterfly,,,,,,
Mountain Gorilla,,,,,,
Mountain Plover,https://www.iucnredlist.org/species/22693876/131931306,,,,,
Narwhal,https://www.iucnredlist.org/species/13704/50367651,,,,,
North Atlantic Right Whale,https://www.iucnredlist.org/species/41712/50380891,,,,,
Olive Ridley Turtle,https://www.iucnredlist.org/species/11534/3292503,,,,,
Orangutan,https://www.iucnredlist.org/species/121097935/123797627,,,,,Pongo abelii
,https://www.iucnredlist.org/species/17975/123809220,,,,,Pongo pygmaeus
Pacific Salmon,,,,,,
Pangolin,,,,,,
Penguin,,,,,,
Plains Bison,https://www.iucnredlist.org/species/2815/123789863,,,,,remove the last 'bison' 
Poison Dart Frog,,,,,,
Polar Bear,https://www.iucnredlist.org/species/22823/14871490,,,,,
Pronghorn,https://www.iucnredlist.org/species/1677/115056938,,,,,antilocarpa' or 'antilocapra'
Red Panda,https://www.iucnredlist.org/species/714/110023718,,,,,
Rhino,,,,,,
Saola,https://www.iucnredlist.org/species/18597/46364962,,,,,
Savanna Elephant,,,,,,
Sea Lions,https://www.iucnredlist.org/species/41668/45230540,,,,,
Sea Turtle,,,,,,
Seals,,,,,,
Sei Whale,https://www.iucnredlist.org/species/2475/130482064,,,,,
Shark,,,,,,
Skipjack Tuna,https://www.iucnredlist.org/species/170310/6739812,,,,,
Sloth,,,,,,
Snow Leopard,https://www.iucnredlist.org/species/22732/50664030,,,,,
South China Tiger,,,,,,
Southern rockhopper penguin,https://www.iucnredlist.org/species/22735250/132664584,,,,,
Sri Lankan Elephant,,,,,,
Sumatran Elephant,,,,,,
Sumatran Orangutan,https://www.iucnredlist.org/species/121097935/123797627,,,,,
Sumatran Rhino,https://www.iucnredlist.org/species/6553/12787457,,,,,
Sumatran Tiger,,,,,,
Swift Fox,https://www.iucnredlist.org/species/23059/57629306,,,,,
Tiger,https://www.iucnredlist.org/species/15955/50659951,,,,,
Tree Kangaroo,,,,,,
